Product URL,Product Name,Product Price,Product Rating,Product Reviews
/ZOUK-Printed-Handmade-Leather-handles/dp/B07NHYLTY7,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),₹720,3.7 out of 5 stars,1K+ bought in past month
/ZOUK-Printed-Handmade-Leather-handles/dp/B07NHYLTY7,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹189,4.4 out of 5 stars,M.R.P: 
/ZOUK-Printed-Handmade-Leather-handles/dp/B07NHYLTY7#customerReviews,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder",₹499,3.7 out of 5 stars,Save 10%
/blackfriday,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,"₹1,299",4.3 out of 5 stars,"2,107"
/ZOUK-Printed-Handmade-Leather-handles/dp/B07NHYLTY7,"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)","₹2,990",4.1 out of 5 stars,3K+ bought in past month
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY,"WildHorn 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹499,4.0 out of 5 stars,(₹6.48/count)
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,"₹2,499",4.3 out of 5 stars,M.R.P: 
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY#customerReviews,Arctic Fox Alarm Zipper System | Anti-Theft Backpack with USB Charging Port | 15.5 Inch Laptop Bag (Glitch Black),"₹2,583",4.1 out of 5 stars,141
/blackfriday,Wildcraft 18 ltrs (7 Cms) backpack(204493566_black),"₹3,149",4.4 out of 5 stars,M.R.P: 
/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,₹549,4.0 out of 5 stars,"1,032"
/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6,Fastrack Women's Sling Bag (Black),"₹2,500",4.3 out of 5 stars,M.R.P: 
/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",₹413,4 Stars & Up,Save ₹200
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,Price and other details may vary based on product size and colour.,₹899,4.5 out of 5 stars,Price and other details may vary based on product size and colour.
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour","₹2,799",4.5 out of 5 stars,17
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ#customerReviews,SHALIMAR Premium Oxo - Biodegradable Garbage Bags 24 X 32 Inches (Large) 60 Bags (4 Rolls) Dustbin Bag/Trash Bag - Green Color(Plastic),₹285,4.0 out of 5 stars,M.R.P: 
/blackfriday,Fastrack Women's Sling Bag (Black),₹388,4.1 out of 5 stars,Save 5%
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,"Safari RAY 53 Cms Small Cabin Polypropylene Hard Sided 4 Wheels 360 Degree Wheeling System Luggage/Suitcase/Trolley Bag, Midnight Blue","₹1,345",4.9 out of 5 stars,"2,131"
/Shalimar-Premium-OXO-Biodegradable-Garbage/dp/B08DHSBP9S,"FLYNGO Insulated Lunch Bag for Kids School, Men, Women Office, Travel Tiffine Pouch for Lunch Box, Heat&Cold Insulated Storage Bag (Blue Leaf)","₹1,799",4.5 out of 5 stars,2K+ bought in past month
/Shalimar-Premium-OXO-Biodegradable-Garbage/dp/B08DHSBP9S,Shalimar Premium OXO - Biodegradable Garbage Bags Size 30 X 37 Inches (Extra Large) 60 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,"₹1,599",3.8 out of 5 stars,(₹4.75/count)
/Shalimar-Premium-OXO-Biodegradable-Garbage/dp/B08DHSBP9S#customerReviews,AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,"₹5,999",4.3 out of 5 stars,M.R.P: 
/blackfriday,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,₹245,4.3 out of 5 stars,80
/Shalimar-Premium-OXO-Biodegradable-Garbage/dp/B08DHSBP9S,"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006",₹699,3.9 out of 5 stars,100+ bought in past month
/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,₹494,3.6 out of 5 stars,M.R.P: 
/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT,"Kuber Industries Women's Polyester Embroidered Potli Bag, Maroon (CTKTC04387)",₹660,4.0 out of 5 stars,"4,334"
/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT#customerReviews,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),₹849,4.0 out of 5 stars,2K+ bought in past month
